moves,result
1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Be7 5.Bg2 O-O 6.O-O c6 7.Qc2 b6 8.Nbd2 a5 9.e4 Na6 10.a3 Bb7 11.b3 dxe4 12.Nxe4 Nxe4 13.Qxe4 Bf6 14.Bf4 Qe7 15.Ne5 Rac8 16.Ng4 Bg5 17.Bxg5 Qxg5 18.h4 Qe7 19.Qe3 Rfd8 20.h5 h6 21.Ne5 c5 22.Bxb7 Qxb7 23.Rad1 cxd4 24.Rxd4 Rxd4 25.Qxd4 Nc5 26.b4 axb4 27.axb4 Ne4 28.Rd1 Ng5 29.Qd7 Nh3+ 30.Kh2 Qxd7 31.Rxd7 Nxf2 32.Kg2 Ne4 33.Rxf7 Nd6 34.Rf4 Nf5 35.g4 Ne3+ 36.Kf3 Nc2 37.b5 Na3 38.Ke3 Rc5 39.Ng6 Nxc4+ 40.Kf2 Kh7 41.Rf8,1
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.g3 Bb4+ 5.Bd2 Be7 6.Bg2 O-O 7.O-O Nbd7 8.Qc2 c6 9.h4 b6 10.Nc3 Ba6 11.cxd5 cxd5 12.Rfc1 Bb7 13.Bf4 Rc8 14.Qb3 a6 15.a4 h6 16.e3 Nh5 17.Bh3 Rc4 18.Qd1 Nxf4 19.exf4 Bd6 20.Bf1 Rc7 21.Bd3 Nf6 22.Qe2 Qa8 23.Ne5 Rfc8 24.f3 h5 25.Qe3 Bb4 26.Rc2 g6 27.Rac1 Kg7 28.Bxg6 fxg6 29.Qd3 Ne4 30.fxe4 dxe4 31.Qe3 Bd5 32.g4 hxg4 33.Rg2 Kh7 34.Rxg4 Rg8 35.Kh2 Qc8 36.f5 gxf5 37.Rxg8 Kxg8 38.Qg5+ Rg7 39.Nxd5 Bf8,1
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 d5 6.d4 Nf6 7.Nc3 Bb4 8.exd5 Nxd5 9.Bd2 Bxc3 10.bxc3 O-O 11.Nxg4 Re8+ 12.Kf2 Qd6 13.Bc4 h5 14.Nh6+ Qxh6 15.Bxd5 Nc6 16.Re1 Bg4 17.Bf3 Qf6 18.Kg1 Qxh4 19.Rxe8+ Rxe8 20.Bxf4 Bxf3 21.Qxf3 Re1+ 22.Rxe1 Qxe1+ 23.Qf1 Qxc3 24.Bxc7 Qxd4+ 25.Kh1 Qh4+ 26.Kg1 Qg5 27.Bf4 Qf5 28.Qf3 Nd4 29.Qg3+ Kh7 30.Qg5 Qxf4 31.Qxh5+ Kg7 32.Qd1 Ne6 33.Qd3 Qd4+,0
1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 Nf6 5.Nf3 e6 6.Na3 a6 7.Nc4 Nbd7 8.a4 b6 9.Be2 Bb7 10.O-O cxd4 11.Qxd4 Bc5 12.Qh4 Qe4 13.Qxe4 Nxe4 14.Nfd2 Nef6 15.Nb3 Be7 16.Bf4 Bd5 17.Rfd1 O-O 18.Nbd2 Rfc8 19.Ne3 Bc6 20.Ndc4 a5 21.Nd6 Bxd6 22.Bxd6 Nc5 23.Bb5 Nb7 24.Ba3 Rc7 25.f3 Rac8 26.Rd2 h6 27.Rad1 Bxb5 28.axb5 Kh7 29.Kf2 g5 30.h4 Kg6 31.hxg5 hxg5 32.g4 Rh8 33.Kg3 Rcc8 34.c4 Rh7 35.Bd6 Nd7 36.b3 f6 37.Ba3 Ne5 38.Bb2 Rch8 39.Kf2 Nc5 40.Bxe5 fxe5 41.Rd6 Rh2+ 42.Kg1 Rh1+ 43.Kf2 R1h2+ 44.Kg1 e4 45.Nf1 Rb2 46.Rxb6 exf3 47.Rd2 Rb1 48.Rc6 Rxf1+ 49.Kxf1 Rh1+ 50.Kf2 Ne4+ 51.Kxf3 Nxd2+ 52.Ke3 Nxb3 53.b6 Rh3+ 54.Kf2 Rh8 55.Rxe6+ Kf7 56.Re5 a4 57.Rb5 Ke6 58.Ke3 a3,0
1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Bd2 Bxd2+ 8.Nbxd2 O-O 9.Bd3 Nc6 10.O-O Nb4 11.Bb1 c5 12.a3 Nc6 13.d5 Ne7 14.Qc2 Ng6 15.g3 b5 16.a4 Bh3 17.Re1 a6 18.Ng5 Bd7 19.axb5 axb5 20.Rxa8 Qxa8 21.Ndf3 h6 22.Nxf7 Rxf7 23.e5 Qxd5 24.Qxg6 dxe5 25.Nxe5 Qd4+ 26.Kf1 Bh3+ 27.Ke2 Re7 28.Qd3 Qxb2+ 29.Bc2 c4 30.Qd2 c3 31.Qd3 Be6 32.Kf1 Qb4 33.Qe3 Qb2 34.Re2 Qb4 35.Kg2 Bd5+ 36.Kh3 Qd6 37.Qxc3 b4 38.Qe3 b3 39.Bb1 Qe6+ 40.g4 Qd6 41.Kg3 b2 42.h4 g5 43.hxg5 hxg5 44.Qd3 gxf4+ 45.Kxf4 Rxe5 46.Rxe5 Nd7 47.Qh7+ Kf8 48.Qh8+ Bg8 49.Ba2 Qxe5+ 50.Qxe5 Nxe5 51.Bb1 Nc4 52.g5 Kg7 53.g6 Na3 54.Be4 Bb3,0
1.e4 e6 2.d4 d5 3.Nd2 Be7 4.Ngf3 Nf6 5.Bd3 c5 6.dxc5 dxe4 7.Nxe4 Nxe4 8.Bxe4 Qxd1+ 9.Kxd1 Bxc5 10.Ke2 Nd7 11.Nd2 f5 12.Bf3 Ne5 13.Nb3 Be7 14.Re1 Kf7 15.Nd4 Bc5 16.c3 Bxd4 17.cxd4 Nxf3 18.Kxf3 Bd7 19.Bf4 Bc6+ 20.Ke3 Rac8 21.f3 Bd5 22.Rec1 Rc6 23.Rxc6 Bxc6 24.Rc1 Rc8 25.Rc3 Bd7 26.Bc7 Bc6 27.Be5 Bd7 28.Rb3 Bc6 29.Ra3 a6 30.Rc3 Bd7 31.Rb3 Bc6 32.Rb6 Rd8 33.b3 g5 34.a4 Rd7 35.Kd3 f4 36.h4 Kg6 37.hxg5 Kxg5 38.Ke2 h5 39.Kf2 h4 40.Kg1 Kf5 41.Kh2 h3 42.Rb4 hxg2 43.Kxg2 Bd5 44.Rb6 Rd8 45.Kf2 Rc8 46.Rd6 Rc2+ 47.Ke1 Bxf3 48.Rd8 Ke4 49.Rf8 Ke3 50.Bxf4+ Kxd4 51.Bd2 Bd5 52.b4 Kd3 53.Bg5 Re2+ 54.Kf1 Rb2 55.Be7 e5 56.Rd8 Kc4 57.Bc5 Bc6 58.a5 e4 59.Ke1 Rxb4 60.Bxb4 Kxb4 61.Kd2 Kxa5 62.Kc3 Kb5 63.Rh8 Kc5 64.Rh5+ Bd5 65.Rh6 a5 66.Rh8 b5 67.Rc8+ Bc6 68.Rd8 b4+ 69.Kb2 a4 70.Rc8 e3 71.Kc2 a3 72.Rc7 Kd6 73.Ra7 Be4+,0
1.e4 e5 2.f4 Nc6 3.Nf3 f5 4.exf5 e4 5.Ne5 Nf6 6.d4 d6 7.Bb5 dxe5 8.fxe5 Bd7 9.exf6 Qxf6 10.O-O O-O-O 11.Be3 Bd6 12.Bxc6 Bxc6 13.Qg4 h5 14.Qh3 Bd7 15.Nc3 Rde8 16.Nd5 Qf7 17.c4 g6 18.Bf4 Bxf4 19.Nxf4 Bxf5 20.Qe3 Qxc4 21.Rac1 Qf7 22.Rc5 b6 23.Rc3 Kb7 24.Rfc1 Re7 25.Qe2 Rd8 26.Ra3 a5 27.b4 Qf6 28.bxa5 Qxd4+ 29.Kh1 Bg4 30.Qf1 e3 31.axb6 e2 32.Qe1 cxb6 33.h3 Qxf4 34.Rac3 Qxc1 35.Rxc1 Rd1 36.hxg4 Rxc1 37.Qxc1 e1=Q+,0
1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Bc4 Nb6 5.Bb3 g6 6.d4 cxd4 7.cxd4 Bg7 8.Nf3 Nc6 9.Nc3 O-O 10.h4 d5 11.h5 Bg4 12.hxg6 fxg6 13.Qd3 Bxf3 14.gxf3 e6 15.f4 Rf5 16.a3 Qd7 17.Bc2 Raf8 18.Ne2 Ne7 19.Bd2 Nc4 20.Bc3 Rc8 21.Rh2 Rf7 22.Kf1 Nf5 23.Kg2 Qc6 24.Rc1 Bf8 25.Bb1 Qb6 26.Kh1 Rcc7 27.Rg1 Nxb2 28.Qh3 Rg7 29.Bxf5 exf5 30.Qf3 Qb3 31.Rb1 Bxa3 32.Kg2 Qa2 33.Rhh1 g5 34.Rhc1 g4 35.Qg3 Nc4 36.Re1 Qc2 37.Qh4 Be7 38.Qh5 Rg6 39.Rbc1 Qe4+ 40.Kg1 g3 41.Nxg3 Qxf4 42.Kg2 Bh4 43.e6 Rxg3+ 44.Kf1 Rg6 45.Rc2 Rcg7 46.Ke2 Rxe6+ 47.Kd1 Rxe1+ 48.Bxe1 Qg4+,0
1.e4 e5 2.f4 d5 3.exd5 exf4 4.Nf3 Nf6 5.Bb5+ c6 6.dxc6 Nxc6 7.Nc3 Bd6 8.Qe2+ Be6 9.Nd4 O-O 10.Nxe6 fxe6 11.Bxc6 bxc6 12.b3 Nd5 13.Bb2 Qh4+ 14.g3 fxg3 15.O-O-O Nf4 16.Qe1 Qg4 17.hxg3 Nd5 18.Rh4 Qg6 19.Qe2 Bxg3 20.Re4 Nf4 21.Qc4 h5 22.Rg1 Kh7 23.Re3 h4 24.Ne4 Nh5 25.Nxg3 hxg3 26.Be5 g2 27.Qe2 Nf4 28.Bxf4 Rxf4 29.Rxg2 Qf6 30.c3 Rf1+ 31.Kb2 Qf5 32.Reg3 Rb1+ 33.Ka3 Qa5#,0
1.e4 c5 2.c3 e5 3.Nf3 Nc6 4.Bc4 Nf6 5.Ng5 d5 6.exd5 Nxd5 7.d4 cxd4 8.Qb3 Be6 9.Nxe6 fxe6 10.Qxb7 Rc8 11.O-O Qd7 12.Qb5 Be7 13.Bb3 O-O 14.Qd3 Na5 15.Bd1 Rfd8 16.Bf3 dxc3 17.Nxc3 Nxc3 18.Qxd7 Rxd7 19.bxc3 Rxc3 20.Bb2 Rc5 21.Rad1 Rxd1 22.Rxd1 Nc4 23.Bc3 e4 24.Bd4 Ra5 25.Bxe4 Rxa2 26.g3 Nd2 27.Bc6 a5 28.Kg2 Kf7 29.Bc3 Nc4 30.Rd7 Ne3+ 31.Kf3 Ra3 32.Bb2 Rb3 33.fxe3 Rxb2 34.Ra7 Rxh2 35.Rxa5 h5 36.Ra6 Bd6 37.Bb5 Ke7 38.Bc4 g5 39.e4 Rc2 40.Ba2 Rc5 41.Ke3 h4 42.gxh4 gxh4 43.Ra7+ Kf6 44.Rh7 h3 45.Kd4 Rc2 46.Bxe6 Be5+ 47.Kd5 Rd2+ 48.Kc6 h2 49.Bg4 Rf2 50.Rh3 Kg5 51.Bf3 Rxf3 52.Rxf3 h1=Q 53.Rf5+ Kg4 54.Rxe5 Kf4 55.Re6 Qd1 56.Kc7 Qd4 57.Re7 Ke3 58.Re6 Qg7+ 59.Kd6 Qf8+ 60.Kd5 Qa8+ 61.Kc5 Qd8 62.Kc6 Qa5 63.Kd6 Kd4 64.Ke7 Qc7+ 65.Kf6 Qf4+ 66.Ke7 Kc5 67.Kd7 Qf7+ 68.Re7 Qf6 69.Re6 Qd4+ 70.Ke7 Qg7+ 71.Ke8 Qh7 72.Re7 Qg6+ 73.Kf8 Kc6 74.e5 Kd5 75.e6 Ke5 76.Rg7 Qf6+ 77.Rf7 Qd8+ 78.Kg7 Kxe6 79.Rf1 Qg5+ 80.Kf8 Qb5 81.Rf7 Qh5 82.Re7+ Kf6,0
